event,goalie_in_id,goalie_out_id,period_id,time,team_code,s,team_id,goalie_in_info.player_id,goalie_in_info.jersey_number,goalie_in_info.team_id,goalie_in_info.team_code,goalie_in_info.first_name,goalie_in_info.last_name,id,period,time_formatted,home_player_id,visitor_player_id,home_win,location_id,x_location,y_location,win_team_id,player_home.player_id,player_home.jersey_number,player_home.team_id,player_home.team_code,player_home.first_name,player_home.last_name,player_visitor.player_id,player_visitor.jersey_number,player_visitor.team_id,player_visitor.team_code,player_visitor.first_name,player_visitor.last_name,home,player_id,hit_type,hitter.player_id,hitter.jersey_number,hitter.team_id,hitter.team_code,hitter.first_name,hitter.last_name,goalie_id,shot_type,shot_type_description,shot_quality_description,quality,game_goal_id,player_team_id,goalie_team_id,assist1_player_id,assist2_player_id,goal_type_name,player.player_id,player.jersey_number,player.team_id,player.team_code,player.first_name,player.last_name,goalie.player_id,goalie.jersey_number,goalie.team_id,goalie.team_code,goalie.first_name,goalie.last_name,goal_type,goal_player_id,location_set,power_play,empty_net,penalty_shot,short_handed,insurance_goal,game_winning,game_tieing,scorer_goal_num,plus,minus,goal_scorer.player_id,goal_scorer.jersey_number,goal_scorer.team_id,goal_scorer.team_code,goal_scorer.first_name,goal_scorer.last_name,assist1_player.player_id,assist1_player.jersey_number,assist1_player.team_id,assist1_player.team_code,assist1_player.first_name,assist1_player.last_name,assist2_player.player_id,assist2_player.jersey_number,assist2_player.team_id,assist2_player.team_code,assist2_player.first_name,assist2_player.last_name,player_served,offence,pp,time_off_formatted,bench,minutes,minutes_formatted,penalty_class_id,penalty_class,lang_penalty_description,player_penalized_info.player_id,player_penalized_info.jersey_number,player_penalized_info.team_id,player_penalized_info.team_code,player_penalized_info.first_name,player_penalized_info.last_name,player_served_info.player_id,player_served_info.jersey_number,player_served_info.team_id,player_served_info.team_code,player_served_info.first_name,player_served_info.last_name,goalie_out_info.player_id,goalie_out_info.jersey_number,goalie_out_info.team_id,goalie_out_info.team_code,goalie_out_info.first_name,goalie_out_info.last_name
shot,,,1,13:40,,820,1,,,,,,,690414,,13:40,,,,,195.0,209.0,,,,,,,,,,,,,,1,23895,,,,,,,,23743,5,Default,Non quality goal,6,246965,1,12,20414,19539,PP,23895,16,1,Mon,Tommy,Bleyl,23743,90,12,Gat,Danai,Shaiikov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
goal,,,1,13:40,,820,1,,,,,,,246965,1st,13:40,,,,,195.0,209.0,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,20414,19539,,,,,,,,,,,,,,PP,23895,0,1,0,0,0,1,0,0,7,"[{'player_id': '19539', 'jersey_number': '9', 'team_id': '1', 'team_code': 'Mon', 'first_name': 'Gabe', 'last_name': 'Smith'}, {'player_id': '20414', 'jersey_number': '14', 'team_id': '1', 'team_code': 'Mon', 'first_name': 'Teddy', 'last_name': 'Mutryn'}, {'player_id': '23895', 'jersey_number': '16', 'team_id': '1', 'team_code': 'Mon', 'first_name': 'Tommy', 'last_name': 'Bleyl'}, {'player_id': '20164', 'jersey_number': '18', 'team_id': '1', 'team_code': 'Mon', 'first_name': 'Caleb', 'last_name': 'Desnoyers'}, {'player_id': '20447', 'jersey_number': '86', 'team_id': '1', 'team_code': 'Mon', 'first_name': 'Niko', 'last_name': 'Tournas'}]","[{'player_id': '21299', 'jersey_number': '5', 'team_id': '12', 'team_code': 'Gat', 'first_name': 'Michel', 'last_name': 'Myloserdnyy'}, {'player_id': '19103', 'jersey_number': '13', 'team_id': '12', 'team_code': 'Gat', 'first_name': 'Jérémie', 'last_name': 'Dumas-Larouche'}, {'player_id': '20508', 'jersey_number': '18', 'team_id': '12', 'team_code': 'Gat', 'first_name': 'Gabriel', 'last_name': 'Séguin'}, {'player_id': '21292', 'jersey_number': '91', 'team_id': '12', 'team_code': 'Gat', 'first_name': 'Simon-Xavier', 'last_name': 'Cyr'}]",23895,16,1,Mon,Tommy,Bleyl,20414,14,1,Mon,Teddy,Mutryn,19539,9,1,Mon,Gabe,Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,
faceoff,,,,00:13:40,,820,,,,,,,,1,1,13:40,20414,22097,1,5,300.0,150.0,1,20414,14,1,Mon,Teddy,Mutryn,22097,72,12,Gat,Nicholas,Petrut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
faceoff,,,,00:15:19,,919,,,,,,,,1,1,15:19,23749,19080,0,2,100.0,206.0,12,23749,27,1,Mon,Kuzma,Voronin,19080,58,12,Gat,Justin,Boisselle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
faceoff,,,,00:16:01,,961,,,,,,,,1,1,16:01,19539,20265,0,7,353.0,227.0,12,19539,9,1,Mon,Gabe,Smith,20265,7,12,Gat,Dylan,Allie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shot,,,1,16:09,,969,1,,,,,,,690415,,16:09,,,,,73.0,149.0,,,,,,,,,,,,,,1,19090,,,,,,,,23743,5,Default,Quality on net,1,,1,12,,,,19090,10,1,Mon,Alex,Mercier,23743,90,12,Gat,Danai,Shaiikov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
penalty,,,1,,,971,1,,,,,,,949971,1st,,,,,,,,,,,,,,,,,,,,,1,22262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,22262,403,0,16:11,0,2.00,2:00,1,Minor,Roughing,22262,22,1,Mon,Rian,Chudzinski,22262,22,1,Mon,Rian,Chudzinski,,,,,,
penalty,,,1,,,971,12,,,,,,,949973,1st,,,,,,,,,,,,,,,,,,,,,0,19103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,19103,403,0,16:11,0,2.00,2:00,1,Minor,Roughing,19103,13,12,Gat,Jérémie,Dumas-Larouche,19103,13,12,Gat,Jérémie,Dumas-Larouche,,,,,,
penalty,,,1,,,971,12,,,,,,,949972,1st,,,,,,,,,,,,,,,,,,,,,0,19705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,19705,347,1,16:11,0,2.00,2:00,1,Minor,Slashing,19705,6,12,Gat,Alexandre,Carbonneau,19705,6,12,Gat,Alexandre,Carbonneau,,,,,,
faceoff,,,,00:16:11,,971,,,,,,,,1,1,16:11,19539,21292,1,1,100.0,49.0,1,19539,9,1,Mon,Gabe,Smith,21292,91,12,Gat,Simon-Xavier,Cyr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shot,,,1,16:22,,982,1,,,,,,,690416,,16:22,,,,,63.0,113.0,,,,,,,,,,,,,,1,19539,,,,,,,,23743,5,Default,Quality goal,5,246966,1,12,20164,20447,PP,19539,9,1,Mon,Gabe,Smith,23743,90,12,Gat,Danai,Shaiikov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
